"plan","unit","part","x","y"
"fewest",1,4,1075.9,1289.7
"fewest",1,4,1075.9,1289.7
"fewest",1,5,1076.1,1290.2
"fewest",1,5,1076.5,1290.4
"fewest",1,5,1076.9,1290.7
"fewest",1,5,1076.5,1290.2
"fewest",1,5,1076.4,1290.2
"fewest",1,5,1076.4,1290
"fewest",1,5,1076.2,1290
"fewest",1,5,1076.1,1290.2
"fewest",2,1,1057.2,1227.9
"fewest",2,1,1057.5,1228.1
"fewest",2,1,1057.6,1228.3
"fewest",2,1,1057.3,1228.6
"fewest",2,1,1057,1228.5
"fewest",2,1,1056.8,1228.7
"fewest",2,1,1057.7,1229.1
"fewest",2,1,1057.7,1229.4
"fewest",2,1,1058,1229.2
"fewest",2,1,1058.3,1229.4
"fewest",2,1,1057.9,1229.6
"fewest",2,1,1057.7,1229.9
"fewest",2,1,1058.2,1230.1
"fewest",2,1,1058.2,1230.8
"fewest",2,1,1058.3,1230.8
"fewest",2,1,1058.3,1231.1
"fewest",2,1,1058.3,1230.8
