"kind","x","y"
"not Black",1066.73,1253.53
"Black",1061.07,1242.62
"Black",1057.01,1243.44
"not Black",1064.79,1267.34
"not Black",1067.13,1254.54
"not Black",1065.37,1270.03
"not Black",1062.11,1283.72
"not Black",1066.27,1274.15
"not Black",1063.96,1267.21
"not Black",1065.92,1280.37
"Black",1066.29,1250.82
"Black",1065.97,1251.88
"Black",1065.21,1273.63
"not Black",1078.94,1284.52
"Black",1064.79,1251.58
"not Black",1068.67,1253.43
"Black",1067.19,1252.7
"not Black",1061.53,1282.25
"not Black",1065.13,1256.35
"not Black",1064.85,1269.06
"Black",1065.84,1270
"Black",1047.53,1238.48
"not Black",1079.51,1285.3
"Black",1062.98,1251.23
"Black",1066.99,1269.11
"Black",1058.07,1245.07
"Black",1065.98,1253.41
"not Black",1061.09,1244.07
"not Black",1058.99,1258.83
"Black",1058.27,1230.71
"not Black",1065.51,1278.62
"Black",1057.25,1239.11
"not Black",1083.59,1287.53
"not Black",1075.94,1286.46
"Black",1045.39,1241.08
"not Black",1065.74,1255.19
"Black",1055.88,1229.15
"Black",1054.41,1228.08
"Black",1060.37,1246.37
"not Black",1064.27,1274.66
"Black",1067.03,1263.5
"not Black",1074.09,1287.19
"not Black",1068.28,1250.52
"not Black",1063.81,1269.45
"Black",1058.86,1233.49
"Black",1059.61,1250
"Black",1058.5,1230.46
"not Black",1061.73,1258.02
"not Black",1063.63,1241.83
"Black",1053.48,1250.91
"Black",1074.49,1289.09
"not Black",1071.85,1295.85
"Black",1066.83,1265.59
"Black",1056.2,1241.24
"not Black",1068.1,1256.14
"Black",1069.81,1291.51
"not Black",1067.91,1247.92
"Black",1061.35,1240.81
"Black",1054.22,1249.72
"not Black",1062.18,1271.57
"Black",1062.49,1252.12
"not Black",1076.95,1289.47
"not Black",1065.92,1280.54
"not Black",1061.51,1258.93
"Black",1055.99,1234.89
"Black",1053.73,1240.59
"not Black",1063.9,1256.25
"not Black",1071.19,1292.9
"not Black",1069.47,1281.45
"not Black",1061.96,1258.53
"not Black",1069.43,1295.91
"not Black",1062.25,1258.46
"Black",1040.16,1227.81
"Black",1050.84,1248.98
"not Black",1065.31,1272.59
"Black",1065.6,1252.99
"not Black",1064.76,1289.37
"not Black",1076.77,1288.74
"Black",1066.45,1252.47
"not Black",1061.68,1256.33
"Black",1041.76,1225.91
"Black",1055.64,1246.74
"not Black",1071.06,1289.16
"Black",1065.46,1262.14
"Black",1045.57,1241.21
"not Black",1063.86,1276.96
"not Black",1065.01,1277.04
"not Black",1079.94,1287.69
"Black",1060.74,1233.12
"Black",1045.19,1230.99
"not Black",1066.82,1260.54
"not Black",1062.17,1269.47
"not Black",1072.53,1292.77
"not Black",1078.84,1282.46
"Black",1058.94,1238.19
"Black",1060.8,1246.28
"Black",1058.47,1232.93
"not Black",1069.17,1296.16
"not Black",1067.01,1261.29
"not Black",1067.42,1260.95
"Black",1057.23,1238.25
"not Black",1075.57,1284.13
"Black",1049.04,1243.61
"Black",1056.87,1241.83
"not Black",1072.82,1287.14
"not Black",1065.12,1256.24
"Black",1066.29,1282.81
"not Black",1078.74,1287.66
"not Black",1078.69,1289.01
"not Black",1065.31,1274.25
"Black",1049.46,1245.5
"not Black",1066.58,1288.2
"Black",1051.31,1247.82
