"series","rank","value","who"
"receipts",21,36696093.1,"SCOTT, RICK SEN"
"receipts",22,36616416.21,"MUCARSEL-POWELL, DEBBIE"
"receipts",23,35970836.83,"MCCORMICK, DAVE"
"receipts",24,35430000,"NORRIS, JIM ALEXANDER SR"
"receipts",25,32527821.11,"PORTER, KATHERINE"
"receipts",26,31958333.2,"HOVDE, ERIC D"
"receipts",27,31958333.2,"HOVDE, ERIC"
"receipts",28,31077805.53,"ALSOBROOKS, ANGELA"
"receipts",29,30015786.32,"SHEEHY, TIM"
"receipts",30,29704589.21,"JOHNSON, PERRY"
"receipts",31,26920693.53,"MORENO, BERNIE"
"receipts",32,26252199.2,"LAKE, KARI"
"receipts",33,24063366.48,"BROWN, SAM"
"receipts",34,22977197.34,"JEFFRIES, HAKEEM"
"receipts",35,20356132.85,"GARVEY, STEVE"
"receipts",36,19867069.39,"JOHNSON, JAMES MICHAEL"
"receipts",37,18856383.18,"SCOTT, TIMOTHY E."
"receipts",38,18856383.18,"SCOTT, TIMOTHY E."
"receipts",39,18308453.68,"KAINE, TIMOTHY MICHAEL"
"receipts",40,18096189.51,"VINDMAN, YEVGENY 'EUGENE'"
"receipts",41,18007928.85,"BURGUM, DOUG"
"receipts",42,17188573.07,"FRISCH, ADAM"
"receipts",43,15739441.84,"MCCARTHY, KEVIN"
"receipts",44,15625987.97,"KENNEDY, JOHN NEELY"
"receipts",45,15467577.5,"STEFANIK, ELISE M."
"receipts",46,15299235.57,"OCASIO-CORTEZ, ALEXANDRIA"
"receipts",47,15129327.27,"OSBORN, DAN"
"receipts",48,14734556.75,"KLOBUCHAR, AMY"
"receipts",49,14732239.34,"SCALISE, STEVE MR"
"receipts",50,13808806.06,"HAWLEY, JOSHUA DAVID SEN"
"receipts",52,13571274.34,"BLACKBURN, MARSHA MRS."
"receipts",53,13443537.46,"PELTOLA, MARY"
"receipts",54,13427350.75,"JORDAN, JAMES D."
"receipts",56,12786118.05,"MURPHY, CHRISTOPHER S"
"receipts",57,12722612.85,"DOLAN, MATT"
"receipts",58,12603461.8,"ROLLINS, WILL"
"receipts",60,12441003.62,"KIM, ANDY"
"receipts",61,12249553.37,"HOGAN, LARRY"
"receipts",63,11856001.72,"GLUESENKAMP PEREZ, MARIE"
"receipts",64,11147595.82,"CANTWELL, MARIA"
"receipts",66,10864653.95,"KELLY, MARK"
"receipts",68,10731410.2,"HEINRICH, MARTIN"
"receipts",69,10730106.83,"STEEL, MICHELLE"
"receipts",71,10570516.03,"KHANNA, ROHIT"
"receipts",73,10223363.88,"PELOSI, NANCY"
"receipts",75,9960888.75,"JONES, MONDAIRE"
"receipts",77,9848776.11,"RILEY, JOSH"
"receipts",79,9832460.01,"CAO, HUNG"
"receipts",81,9660670.47,"THANEDAR, SHRI"
"receipts",83,9546139.34,"JAMES, JOHN"
"receipts",85,9208382.46,"TORRES, RITCHIE JOHN"
"receipts",87,9039537.78,"WARREN, ELIZABETH"
"receipts",89,8960241.51,"GREENE, MARJORIE TAYLOR"
"receipts",91,8559239.47,"CRANE, ELI"
"receipts",94,8461618.48,"ENGEL, KIRSTEN"
"receipts",96,8335875.08,"OMAR, ILHAN"
"receipts",99,8158685.41,"EMMER, THOMAS EARL JR."
"receipts",101,8124793.49,"CARAVEO, YADIRA"
"receipts",104,7936781.16,"DE LA CRUZ, MONICA"
"receipts",106,7761388.01,"BARRASSO, JOHN A"
"receipts",109,7656059.9,"HERTEL, CURTIS JR."
"receipts",112,7585464.44,"JOHNSON, GLORIA"
"receipts",114,7515611.35,"VARGAS, ANTHONY 'TONY'"
"receipts",117,7337226.72,"BANKS, JAMES E. HON."
"receipts",120,7150753.11,"PENCE, MIKE"
"receipts",123,7013192.46,"DOMENICI, NELLA LOUISE LOUISE"
"receipts",126,6899715.28,"ELLZEY, JOHN KEVIN SR."
"receipts",130,6668890.94,"JACKSON, RONNY LYNN"
"receipts",133,6549798.75,"SMITH, JASON T"
"receipts",136,6521826.18,"STELSON, JANELLE"
"receipts",140,6439520.45,"FITZPATRICK, BRIAN"
"receipts",143,6358058.65,"COOKE, REBECCA"
"receipts",147,6241636.66,"SHREVE, JEFFERSON"
"receipts",151,6071959.21,"LEE, SUSIE"
"receipts",154,6052175.61,"BOWMAN, JAMAAL"
"receipts",158,5949591.43,"GONZALES, ERNEST ANTHONY TONY II"
"receipts",162,5809488.05,"LEE, BARBARA"
"receipts",166,5720498.25,"BONDAR, PAUL L"
"receipts",171,5600532.3,"ARENHOLZ, ASHLEY HINSON"
"receipts",175,5562461.74,"CRAMER, KEVIN MR."
"receipts",179,5415539.47,"HARDER, JOSH"
