"fips","county","state","total","one_race","white","black","aian","asian","nhpi","other_race","two_or_more","hispanic","not_hispanic","nh_white","nh_black","nh_aian","nh_asian","nh_nhpi","nh_other","nh_two","gq_total","gq_correctional","gq_juvenile","gq_nursing","gq_college","gq_military"
"42093","Montour County","Pennsylvania",18136,17429,16248,331,37,668,1,144,707,487,17649,16105,320,27,668,0,22,507,686,27,97,254,0,0
"42095","Northampton County","Pennsylvania",312951,287352,238475,19442,855,10041,114,18425,25599,44597,268354,228373,17429,251,9892,75,1647,10687,11591,556,79,3239,7098,0
"42097","Northumberland County","Pennsylvania",91647,87897,82821,2579,169,457,24,1847,3750,4151,87496,81689,2392,110,444,24,199,2638,3552,2471,47,726,0,0
"42099","Perry County","Pennsylvania",45842,44005,43173,302,50,146,4,330,1837,912,44930,42838,289,50,139,3,139,1472,529,106,19,345,0,0
"42101","Philadelphia County","Pennsylvania",1603797,1492897,582636,630462,6212,133553,932,139102,110900,238277,1365520,550828,613835,2596,132408,579,11419,53855,46709,5616,304,6140,25416,0
"42103","Pike County","Pennsylvania",58535,53491,47203,3285,208,855,17,1923,5044,6719,51816,45375,3027,121,841,14,234,2204,493,250,7,146,35,0
"42105","Potter County","Pennsylvania",16396,15833,15608,43,25,74,0,83,563,247,16149,15494,43,25,69,0,52,466,222,39,0,163,0,0
"42107","Schuylkill County","Pennsylvania",143049,137385,128205,4394,248,761,30,3747,5664,8064,134985,126192,4115,155,748,13,287,3475,6995,4899,16,1549,312,0
"42109","Snyder County","Pennsylvania",39736,38541,37328,539,50,299,12,313,1195,977,38759,36992,504,32,296,11,58,866,2490,89,0,141,2043,0
"42111","Somerset County","Pennsylvania",74129,72010,69290,1881,69,200,14,556,2119,1037,73092,69044,1863,50,194,7,126,1808,4739,3834,33,681,0,0
"42113","Sullivan County","Pennsylvania",5840,5605,5439,85,9,20,0,52,235,105,5735,5406,77,9,17,0,29,197,287,0,0,141,70,0
"42115","Susquehanna County","Pennsylvania",38434,36764,36066,145,76,138,0,339,1670,847,37587,35799,138,59,135,0,98,1358,314,48,0,202,0,0
"42117","Tioga County","Pennsylvania",41045,39309,38477,343,77,189,7,216,1736,640,40405,38257,321,73,189,7,99,1459,1268,39,0,244,804,0
"42119","Union County","Pennsylvania",42681,41090,36974,2583,102,822,8,601,1591,2000,40681,36050,2459,82,814,8,112,1156,7338,3535,18,342,3163,0
"42121","Venango County","Pennsylvania",50454,48239,47324,444,83,172,10,206,2215,577,49877,47117,434,68,172,10,96,1980,888,51,63,429,6,0
"42123","Warren County","Pennsylvania",38587,36964,36447,149,76,157,5,130,1623,415,38172,36310,144,71,154,5,57,1431,831,120,10,358,0,0
"42125","Washington County","Pennsylvania",209349,198887,188060,6958,301,2013,64,1491,10462,4021,205328,186900,6861,230,1998,63,620,8656,4892,303,0,1398,2643,0
