"from_2020","to_2024","weight"
"BRANTLEY|HOBOKEN","BRANTLEY|HOBOKEN",1
"BRANTLEY|NAHUNTA","BRANTLEY|NAHUNTA",1
"BRANTLEY|WAYNESVILLE","BRANTLEY|WAYNESVILLE",0.999955
"BRANTLEY|WAYNESVILLE","GLYNN|MAR",3e-05
"BRANTLEY|WAYNESVILLE","BRANTLEY|NAHUNTA",8e-06
"BRANTLEY|WAYNESVILLE","CAMDEN|TARBORO",7e-06
"BROOKS|BARWICK","BROOKS|BARWICK",1
"BROOKS|BRIGGS","BROOKS|BRIGGS",0.999786
"BROOKS|BRIGGS","BROOKS|QUITMAN",0.000214
"BROOKS|DIXIE","BROOKS|DIXIE",1
"BROOKS|MORVEN","BROOKS|MORVEN",1
"BROOKS|NANKIN","BROOKS|NANKIN",1
"BROOKS|PAVO","BROOKS|PAVO",1
"BROOKS|QUITMAN","BROOKS|QUITMAN",1
"BRYAN|BLACK CREEK","BRYAN|OLIVE BRANCH BAPTIST CHURCH",0.574933
"BRYAN|BLACK CREEK","BRYAN|LANIER",0.424954
"BRYAN|BLACK CREEK","NA|NA",0.000113
"BRYAN|DANIELSIDING","BRYAN|DANIEL SIDING",0.997037
"BRYAN|DANIELSIDING","BRYAN|NEW BEGINNINGS",0.002474
"BRYAN|DANIELSIDING","BRYAN|SPIRIT OF PEACE LUTHERAN CHURCH",0.000392
"BRYAN|DANIELSIDING","BRYAN|FIRST BAPTIST CHURCH",4.8e-05
"BRYAN|DANIELSIDING","BRYAN|DEVAUL HENDERSON PARK GYM",4.8e-05
"BRYAN|ELLABELL","BRYAN|OLIVE BRANCH BAPTIST CHURCH",0.999999
"BRYAN|HWY 144 EAST","BRYAN|NEW BEGINNINGS",0.796347
"BRYAN|HWY 144 EAST","BRYAN|DEVAUL HENDERSON PARK GYM",0.177359
"BRYAN|HWY 144 EAST","BRYAN|TIMBER TRAIL",0.022616
"BRYAN|HWY 144 EAST","BRYAN|SPIRIT OF PEACE LUTHERAN CHURCH",0.003585
