"GEOID20","pop","precinct_2020","precinct_2024"
"130311102023012",0,"BULLOCH|STATESBORO","BULLOCH|STATESBORO"
"130311108001121",0,"BULLOCH|SINKHOLE","BULLOCH|SINKHOLE"
"130719702002064",0,"COLQUITT|DOERUN","COLQUITT|DOERUN"
"130719709013001",0,"COLQUITT|HARTSFIELD","COLQUITT|HARTSFIELD"
"130719703023018",0,"COLQUITT|MONK","COLQUITT|MONK"
"132231202051024",11,"PAULDING|THE EVENTS PLACE","PAULDING|TABERNACLE BAPTIST CHURCH"
"131210029001023",16,"FULTON|02S","FULTON|02S"
"131210029001009",131,"FULTON|02G","FULTON|02G"
"131210114194021",36,"FULTON|RW01","FULTON|RW01"
"130719709011012",3,"COLQUITT|BRIDGECREEK","COLQUITT|BRIDGECREEK"
"130530202061198",0,"NA|NA","NA|NA"
"130550101001003",16,"CHATTOOGA|HAYWOOD","CHATTOOGA|HAYWOOD"
"130550104022014",72,"CHATTOOGA|SUMMERVILLE","CHATTOOGA|SUMMERVILLE"
"130530201002029",1,"CHATTAHOOCHEE|ACTIVITY CENTER","CHATTAHOOCHEE|ACTIVITY CENTER"
"130530202031089",0,"NA|NA","NA|NA"
"132950202002010",13,"WALKER|ROSSVILLE","WALKER|ROSSVILLE"
"132950209022039",0,"WALKER|ARMUCHEE VALLEY","WALKER|ARMUCHEE VALLEY"
"132759607023066",0,"THOMAS|HARPER","THOMAS|HARPER"
"131850114053029",0,"LOWNDES|S LOWNDES","LOWNDES|S LOWNDES"
"131850106041027",48,"LOWNDES|MT CALVARY","LOWNDES|LOWNDES CIVIC"
"131850101022004",101,"LOWNDES|TRINITY","LOWNDES|PINE GROVE"
"131850114021044",0,"LOWNDES|RAINWATER","LOWNDES|RAINWATER"
"131850103012006",32,"LOWNDES|NORTHSIDE","LOWNDES|ELECTIONS OFFICE"
"132759604001057",5,"THOMAS|PAVO","THOMAS|PAVO/PATTEN"
"130659701002054",0,"CLINCH|ARGYLE","CLINCH|ARGYLE"
"131899501002039",14,"MCDUFFIE|132","MCDUFFIE|NORTH MCDUFFIE"
"130210104004020",12,"BIBB|GODFREY 1","BIBB|GODFREY 1"
