"year","st","district","party","candidates","total_votes","leader","leader_votes","leader_share","second","second_share","runoff","runoff_winner","leader_won_runoff","top_two_state"
2006,"NJ","2","D",2,9971,"Thomas-Hughes, Viola",8268,82.92,"Marcus, Henry David",17.08,FALSE,NA,NA,FALSE
2006,"NJ","5","D",2,10341,"Aronsohn, Paul",6857,66.31,"Abate, Camille M.",33.69,FALSE,NA,NA,FALSE
2006,"NJ","5","R",2,27507,"Garrett, Scott",23760,86.38,"Cino, Michael J.",13.62,FALSE,NA,NA,FALSE
2006,"NV","1","D",2,32922,"Berkley, Shelley",29655,90.08,"Lawlor, Asimo Sondra ""Silver""",9.92,FALSE,NA,NA,FALSE
2006,"NV","1","R",3,20715,"Wegner, Kenneth",10615,51.24,"Mickelson, Russ",38.17,FALSE,NA,NA,FALSE
2006,"NV","2","R",5,68992,"Heller, Dean",24770,35.9,"Angle, Sharron E.",35.29,FALSE,NA,NA,FALSE
2006,"NV","3","D",5,38418,"Hafen, Tessa M.",22118,57.57,"Michaels, Barry",15.63,FALSE,NA,NA,FALSE
2006,"NY","10","D",3,41051,"Towns, Edolphus",19469,47.43,"Barron, Charles",37.38,FALSE,NA,NA,FALSE
2006,"NY","11","D",4,51295,"Clarke, Yvette D.",15711,30.63,"Yassky, David S.",27.15,FALSE,NA,NA,FALSE
2006,"NY","17","D",2,31994,"Engel, Eliot L.",26564,83.03,"Flagg, Jessica",16.97,FALSE,NA,NA,FALSE
2006,"NY","18","R",2,6147,"Hoffman, Richard A.",3239,52.69,"Russell, Jim",47.31,FALSE,NA,NA,FALSE
2006,"NY","19","D",4,22708,"Hall, John",11231,49.46,"Aydelott, Judith",26.91,FALSE,NA,NA,FALSE
2006,"NY","21","D",2,30587,"McNulty, Michael R.",26246,85.81,"Raleigh, Thomas J.",14.19,FALSE,NA,NA,FALSE
2006,"NY","3","R",2,13187,"King, Peter T.",11077,84,"Previdi, Robert",16,FALSE,NA,NA,FALSE
2006,"OH","10","D",2,67375,"Kucinich, Dennis J.",51485,76.42,"Ferris, Barbara Anne",23.58,FALSE,NA,NA,FALSE
2006,"OH","10","R",2,23436,"Dovilla, Michael D.",15270,65.16,"Werner, Jason",34.84,FALSE,NA,NA,FALSE
2006,"OH","12","D",4,44751,"Shamansky, Bob",19387,43.32,"Schaffer, Patricia J.",30.87,FALSE,NA,NA,FALSE
2006,"OH","13","D",8,68922,"Sutton, Betty",21268,30.86,"Cafaro, Capri S.",24.54,FALSE,NA,NA,FALSE
2006,"OH","13","R",5,32270,"Foltin, Craig",12088,37.46,"McGrew, David",21.94,FALSE,NA,NA,FALSE
2006,"OH","14","D",3,36248,"Katz, Lewis R.",15401,42.49,"Blanchard, Dale Virgil",31.21,FALSE,NA,NA,FALSE
2006,"OH","16","D",2,40405,"Shaw, Thomas",20508,50.76,"Mason, Tom",49.24,FALSE,NA,NA,FALSE
2006,"OH","16","R",2,55696,"Regula, Ralph",32526,58.4,"Miller, Matt",41.6,FALSE,NA,NA,FALSE
2006,"OH","18","D",4,47176,"Space, Zack",18251,38.69,"Stewart, Jennifer",25.59,FALSE,NA,NA,FALSE
2006,"OH","18","R",7,64798,"Ney, Bob",34515,53.27,"Harris, James Brodbelt",24.57,FALSE,NA,NA,FALSE
2006,"OH","2","D",5,28523,"Wulsin, Victoria",10455,36.65,"Jacobs, Thor",22.91,FALSE,NA,NA,FALSE
