GEOID,state,city,grade,total,white,black,pct_black
06037209810,CA,Los Angeles,D,2385,403,146,6.12
06037209820,CA,Los Angeles,D,2732,318,106,3.88
06037210010,CA,Los Angeles,D,3190,390,114,3.57
06037211000,CA,Los Angeles,A,5268,3036,269,5.11
06037211121,CA,Los Angeles,D,2431,443,201,8.27
06037211122,CA,Los Angeles,C,2877,678,242,8.41
06037211124,CA,Los Angeles,C,4070,461,193,4.74
06037211201,CA,Los Angeles,C,2538,459,79,3.11
06037211202,CA,Los Angeles,C,2693,487,94,3.49
06037211310,CA,Los Angeles,C,3603,472,103,2.86
06037211320,CA,Los Angeles,C,2899,545,169,5.83
06037211410,CA,Los Angeles,C,2956,335,104,3.52
06037211420,CA,Los Angeles,C,3479,654,146,4.2
06037211500,CA,Los Angeles,B,4230,1724,151,3.57
06037211701,CA,Los Angeles,B,2733,989,120,4.39
06037211703,CA,Los Angeles,C,4716,602,208,4.41
06037211704,CA,Los Angeles,C,2941,541,174,5.92
06037211803,CA,Los Angeles,C,3602,374,198,5.5
06037211804,CA,Los Angeles,C,3247,290,121,3.73
06037211910,CA,Los Angeles,C,4223,684,314,7.44
06037211921,CA,Los Angeles,C,2447,258,97,3.96
06037211922,CA,Los Angeles,C,3182,472,241,7.57
06037212202,CA,Los Angeles,C,3364,366,156,4.64
06037212203,CA,Los Angeles,C,3216,471,170,5.29
06037212204,CA,Los Angeles,C,3227,336,209,6.48
06037212303,CA,Los Angeles,C,3486,605,226,6.48
06037212305,CA,Los Angeles,C,2533,330,149,5.88
06037212306,CA,Los Angeles,C,2793,275,88,3.15
06037212410,CA,Los Angeles,C,3560,506,138,3.88
06037212420,CA,Los Angeles,C,2875,362,153,5.32
06037212501,CA,Los Angeles,C,1944,425,146,7.51
06037212502,CA,Los Angeles,C,3363,610,176,5.23
06037212610,CA,Los Angeles,B,4049,623,178,4.4
06037212620,CA,Los Angeles,B,4111,481,232,5.64
06037212701,CA,Los Angeles,B,2487,290,164,6.59
06037212702,CA,Los Angeles,A,3687,940,299,8.11
06037212800,CA,Los Angeles,B,4121,727,326,7.91
06037212900,CA,Los Angeles,B,3721,547,362,9.73
06037213100,CA,Los Angeles,B,2507,315,236,9.41
06037213201,CA,Los Angeles,D,4330,361,166,3.83
06037213202,CA,Los Angeles,D,3679,395,205,5.57
06037213310,CA,Los Angeles,D,3323,401,57,1.72
06037213320,CA,Los Angeles,D,3006,334,197,6.55
06037213401,CA,Los Angeles,C,4806,413,126,2.62
06037213402,CA,Los Angeles,C,5119,543,205,4.0
06037214000,CA,Los Angeles,B,3808,3276,43,1.13
06037214100,CA,Los Angeles,B,4111,3402,86,2.09
06037214400,CA,Los Angeles,C,2980,2235,110,3.69
06037214600,CA,Los Angeles,C,2600,1940,98,3.77
06037214700,CA,Los Angeles,B,2731,1976,141,5.16
06037214800,CA,Los Angeles,C,2843,2155,134,4.71
06037214902,CA,Los Angeles,C,2668,1928,105,3.94
06037214903,CA,Los Angeles,C,1542,1195,45,2.92
06037214904,CA,Los Angeles,C,1696,1264,61,3.6
06037215101,CA,Los Angeles,C,2614,1468,216,8.26
06037215102,CA,Los Angeles,C,3123,1994,212,6.79
06037216100,CA,Los Angeles,B,2465,1178,378,15.33
06037216201,CA,Los Angeles,A,2701,1508,241,8.92
06037216202,CA,Los Angeles,B,2838,1154,626,22.06
06037216301,CA,Los Angeles,B,1374,983,59,4.29
06037216302,CA,Los Angeles,B,3551,2027,421,11.86
06037216401,CA,Los Angeles,C,4165,2953,150,3.6
06037216402,CA,Los Angeles,C,2644,1928,99,3.74
06037216700,CA,Los Angeles,B,3938,1690,896,22.75
06037216800,CA,Los Angeles,B,3566,2220,280,7.85
06037216901,CA,Los Angeles,B,2888,1122,843,29.19
06037216902,CA,Los Angeles,B,2331,1128,448,19.22
06037217001,CA,Los Angeles,C,2863,2339,51,1.78
06037217002,CA,Los Angeles,C,5084,3365,331,6.51
06037217101,CA,Los Angeles,C,2520,559,483,19.17
06037217102,CA,Los Angeles,B,2930,1183,765,26.11
06037217200,CA,Los Angeles,B,3887,1212,791,20.35
06037218110,CA,Los Angeles,C,3120,403,628,20.13
06037218120,CA,Los Angeles,C,4250,455,343,8.07
06037218210,CA,Los Angeles,C,3951,513,497,12.58
06037218220,CA,Los Angeles,C,4123,774,965,23.41
