client,registrant,client_state,amount,n_issues,n_lobbyists
HELEN KELLER INTERNATIONAL,MWMURRAY CONSULTING LLC,DC,6000,2,1
HENDRICKS REGIONAL HEALTH,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
"EVOLUTION SPACE, INC.",ARK STRATEGY,IL,15000,1,1
HENRY COUNTY HOSPITAL,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
"INDIANA COUNCIL OF COMMUNITY MENTAL HEALTH CENTERS, INC.","HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,24000,2,3
INDIANA HOSPITAL ASSOCIATION,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,30000,1,3
AIDS HEALTHCARE FOUNDATION,"PARRY, ROMANI, DECONCINI & SYMMS",CA,60000,2,2
JOHNSON MEMORIAL HOSPITAL,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
RELX INC.,THE VOGEL GROUP,DC,50000,1,3
LEE HEALTH SYSTEM,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",FL,11250,1,3
KIWANIS INTERNATIONAL,MWMURRAY CONSULTING LLC,IN,10000,2,2
ALABAMA-COUSHATTA TRIBE OF TEXAS,"PARRY, ROMANI, DECONCINI & SYMMS",TX,0,1,2
LIBERTY PARTNERS GROUP,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",DC,5000,1,3
UNICEF USA,MWMURRAY CONSULTING LLC,NY,20000,2,1
GENERAL NUTRITION CENTER,"PARRY, ROMANI, DECONCINI & SYMMS",PA,0,1,2
LOGANSPORT MEMORIAL HOSPITAL,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
PELLET FUELS INSTITUTE FKA PFI,ORION ADVOCATES,VA,15000,2,1
GIRLS ON THE RUN INTERNATIONAL (GOTR),"ACTIVE POLICY SOLUTIONS, LLC",NC,0,2,2
MAJOR HEALTH PARTNERS,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
MARGARET MARY HEALTH,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
EPSILON CARBON PRIVATE LIMITED,THE VOGEL GROUP,,25000,3,2
DOLLAR GENERAL,THE VOGEL GROUP,TN,52500,2,4
AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION,MWMURRAY CONSULTING LLC,DC,30000,2,2
"SERVPRO INDUSTRIES, LLC",THE VOGEL GROUP,TN,0,1,3
MARION GENERAL HOSPITAL,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
"NETWORTH SERVICES, INC","PARRY, ROMANI, DECONCINI & SYMMS",AZ,0,3,2
MERCY HEALTH SYSTEM,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",MO,30000,1,3
"DOC WAYNE YOUTH SERVICES, INC.","ACTIVE POLICY SOLUTIONS, LLC",MA,0,2,2
NATIONAL ORGANIZATION OF STATE OFFICES OF RURAL HEALTH,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",MI,16000,1,3
NINESTAR CONNECT,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,15000,2,3
"GAVI, THE VACCINE ALLIANCE",MWMURRAY CONSULTING LLC,DC,20000,2,1
RIVERVIEW HEALTH,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
RUSH MEMORIAL HOSPITAL,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
SODEXO CLINICAL TECHNOLOGY MANAGEMENT,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",TN,0,1,2
SUBURBAN HEALTH ORGANIZATION,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,39000,1,3
STI/SPFA,THE VOGEL GROUP,IL,15300,2,2
"TELIX PHARMACEUTICALS, INC.","HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,39000,1,3
THEDACARE HEALTH SYSTEM,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",WI,0,2,3
"SUMMIT NEXT GEN (FKA APEX RENEWABLES, LLC)",THE VOGEL GROUP,DE,60000,8,4
WITHAM HOSPITAL,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
ASPIRE FOOD GROUP,DENTONS US LLP,TX,30000,1,2
ALLERGY STANDARDS LIMITED,THE VOGEL GROUP,,0,3,2
FLIGHT SCHOOL INTERNATIONAL (FKA FLIGHT SCHOOL ASSOCIATION OF NORTH AMERICA),THE VOGEL GROUP,PA,18000,1,3
CATFISH FARMERS OF AMERICA,ROSE GROUP ADVISORS,MS,30000,2,1
THE METALS COMPANY,THE VOGEL GROUP,BC,62000,1,6
NATIONAL REVERSE MORTGAGE LENDERS ASSOCIATION,"FENNEL CONSULTING, LLC",DC,10000,1,1
SANTA CLARA COUNTY HOUSING AUTHORITY,"FENNEL CONSULTING, LLC",CA,30000,1,1
SYMBION POWER SERVICES,KRL INTERNATIONAL LLC,DC,0,1,1
AMERICAN COLLEGE OF SURGEONS,AMERICAN COLLEGE OF SURGEONS,DC,220000,4,8
MM-LAW LLC (ON BEHALF OF CERTAIN AMERICAN VETERANS & GOLD STAR FAMILIES),MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),IL,0,2,2
MCR OIL TOOLS,THE VOGEL GROUP,TX,30000,2,1
TEXANS AGAINST HIGH-SPEED RAIL,THE VOGEL GROUP,TX,6000,1,1
"NATIONAL HOUSING COMPLIANCE, INC.","FENNEL CONSULTING, LLC",GA,10000,1,1
"SANDBOXX, INC.",THE VOGEL GROUP,VA,15000,1,3
GERALD METALS LLC,KRL INTERNATIONAL LLC,CT,20000,2,1
KATHAIROS SOLUTIONS,THE VOGEL GROUP,DE,30000,3,3
"CHIPPS, CAFFREY AND DUBILIER, P. S. C.",GABBERT CONSULTING CO LLC,KY,9000,2,1
AMERICAN TRADE ASSOCIATION FOR CANNABIS AND HEMP (ATACH),THE VOGEL GROUP,DC,45000,3,3
AFRICA FINANCE CORPORATION,KRL INTERNATIONAL LLC,,78142.84,2,1
GV SPRING HILL,THE VOGEL GROUP,MA,40000,1,3
AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION,AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION,DC,10000,4,8
VETERAN MENTAL HEALTH LEADERSHIP COALITION,THE VOGEL GROUP,NY,15000,2,3
INNOVATIX,"DUMBARTON GROUP, LLC",NY,0,1,2
NAVANCIO LLC,THE VOGEL GROUP,NV,22600,1,1
MINT INNOVATION,THE VOGEL GROUP,,45000,1,5
ASSOCIATION ON HIGHER EDUCATION AND DISABILITY (AHEAD),"ACTIVE POLICY SOLUTIONS, LLC",SC,30000,1,2
ASSOCIATION OF STATE DAM SAFETY OFFICIALS,AMERICAN SOCIETY OF CIVIL ENGINEERS,KY,0,3,2
"CITY OF AGOURA HILLS, CA",DOWNS GOVERNMENT AFFAIRS,CA,0,1,1
"ACHIEVING THE DREAM, INC.",DOWNS GOVERNMENT AFFAIRS,MD,0,1,1
AMERICAN COLLEGE HEALTH ASSOCIATION,"ACTIVE POLICY SOLUTIONS, LLC",MD,5000,1,3
DELGADO COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,LA,0,1,1
FLETCHER TECHNICAL COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,LA,0,1,1
FLORIDA KEYS COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,FL,0,1,1
MIRACOSTA COLLEGE,DOWNS GOVERNMENT AFFAIRS,CA,0,1,1
NORTHEAST WISCONSIN TECHNICAL COLLEGE,DOWNS GOVERNMENT AFFAIRS,WI,10000,1,1
SAN JACINTO COLLEGE,DOWNS GOVERNMENT AFFAIRS,TX,20000,1,1
SOUTH CENTRAL LOUISIANA TECHNICAL COLLEGE,DOWNS GOVERNMENT AFFAIRS,LA,0,1,1
TIDEWATER COMMUNITY COLLEGE EDUCATION FOUNDATION,DOWNS GOVERNMENT AFFAIRS,VA,0,1,1
JOHN TYLER COMMUNITY COLLEGE FOUNDATION,DOWNS GOVERNMENT AFFAIRS,VA,0,2,1
THE DIBBLE INSTITUTE,"ACTIVE POLICY SOLUTIONS, LLC",CA,10000,3,3
HOUSATONIC COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,CT,0,2,1
"CHARTER COMMUNICATIONS OPERATING, LLC",SALINAS STRATEGIES LLC,MO,40000,2,1
"GASTON COLLEGE FOUNDATION, INC.",DOWNS GOVERNMENT AFFAIRS,NC,0,2,1
NORTHCENTRAL TECHNICAL COLLEGE,DOWNS GOVERNMENT AFFAIRS,WI,0,1,1
SAN JUAN COLLEGE,DOWNS GOVERNMENT AFFAIRS,NM,10000,2,1
VERMONT TECHNICAL COLLEGE,DOWNS GOVERNMENT AFFAIRS,VT,0,2,1
ESOP ASSOCIATION,THE ESOP ASSOCIATION,DC,180000,5,2
HINDS COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,MS,10000,1,1
COLLIN COLLEGE,DOWNS GOVERNMENT AFFAIRS,TX,0,1,1
COLLEGE OF SOUTHERN NEVADA,DOWNS GOVERNMENT AFFAIRS,NV,0,1,1
ST. CHARLES COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,MO,0,1,1
NATIONAL INSURANCE CRIME BUREAU,NATIONAL INSURANCE CRIME BUREAU,IL,20000,2,1
PORTLAND COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,OR,0,1,1
LAKE AREA TECHNICAL INSTITUTE,DOWNS GOVERNMENT AFFAIRS,SD,0,1,1
DELAWARE TECHNICAL COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,DE,0,1,1
AMERICAN COLLEGE OF CLINICAL PHARMACY,"CAPITOL ADVOCACY & GOVERNMENT AFFAIRS, LLC",KS,50000,1,1
CARTERET COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,NC,0,1,1
HAWAII COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,HI,0,4,1
UNIVERSITY OF HAWAI'I COMMUNITY COLLEGES,DOWNS GOVERNMENT AFFAIRS,HI,0,1,1
ANNE ARUNDEL COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,MD,0,3,1
MISSISSIPPI GULF COAST COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,MS,0,2,1
TALLAHASSEE COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,FL,0,1,1
TEACHING MATTERS,"ACTIVE POLICY SOLUTIONS, LLC",NY,0,1,2
EMSI,DOWNS GOVERNMENT AFFAIRS,ID,0,1,1
LONG BEACH COMMUNITY COLLEGE DISTRICT,DOWNS GOVERNMENT AFFAIRS,CA,0,1,1
SHASTA-TEHAMA-TRINITY JOINT COMMUNITY COLLEGE DISTRICT,DOWNS GOVERNMENT AFFAIRS,CA,0,1,1
WOMEN'S BASKETBALL COACHES ASSOCIATION,"ACTIVE POLICY SOLUTIONS, LLC",GA,0,1,2
TARRANT COUNTY COLLEGE,DOWNS GOVERNMENT AFFAIRS,DC,10000,1,1
NORTHEASTERN TECHNICAL COLLEGE,DOWNS GOVERNMENT AFFAIRS,SC,0,1,1
"DAKOTA COUNTY, MN",DOWNS GOVERNMENT AFFAIRS,MN,15000,1,1
"WASHINGTON COUNTY, MN",DOWNS GOVERNMENT AFFAIRS,MN,20000,1,1
MINNESOTA STATE COLLEGE SOUTHEAST,DOWNS GOVERNMENT AFFAIRS,MN,0,2,1
WEST CHESTER UNIVERSITY,DOWNS GOVERNMENT AFFAIRS,PA,0,1,1
AMERICAN INTERNATIONAL COLLEGE,DOWNS GOVERNMENT AFFAIRS,MA,0,1,1
BRISTOL COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,MA,0,1,1
GENESEE COMMUNITY COLLEGE,DOWNS GOVERNMENT AFFAIRS,NY,0,1,1
LEWIS-CLARK STATE COLLEGE,DOWNS GOVERNMENT AFFAIRS,ID,0,1,1
RUST COLLEGE,DOWNS GOVERNMENT AFFAIRS,MS,12000,1,1
UNIVERSITY OF SAN DIEGO,DOWNS GOVERNMENT AFFAIRS,CA,12000,1,1
NATIONAL ALLIANCE TO END SEXUAL VIOLENCE,ELLEN FERN,DC,10000,3,1
SOUTHERN WESLEYAN UNIVERSITY,DOWNS GOVERNMENT AFFAIRS,SC,0,1,1
SANTA ROSA JUNIOR COLLEGE,DOWNS GOVERNMENT AFFAIRS,CA,0,1,1
