"state","cd","district","democrat","republican","dem_share","pres_party","house_rep","house_rep_party"
"CA","26","CA-26",55.17,42.01,56.77,"democrat","Julia Brownley","democrat"
"CA","27","CA-27",50.47,46.58,52,"democrat","George Whitesides","democrat"
"CA","28","CA-28",61.8,34.87,63.93,"democrat","Judy Chu","democrat"
"CA","29","CA-29",65.83,31.03,67.96,"democrat","Luz Maria Rivas","democrat"
"CA","30","CA-30",68.81,27.75,71.26,"democrat","Laura Friedman","democrat"
"CA","31","CA-31",56.95,40.04,58.72,"democrat","Gil Cisneros","democrat"
"CA","32","CA-32",64.21,32.86,66.15,"democrat","Brad Sherman","democrat"
"CA","33","CA-33",52.92,44.18,54.5,"democrat","Pete Aguilar","democrat"
"CA","34","CA-34",73.06,22.42,76.52,"democrat","Jimmy Gomez","democrat"
"CA","35","CA-35",53.67,43.39,55.3,"democrat","Norma J. Torres","democrat"
"CA","36","CA-36",67.92,28.81,70.22,"democrat","Ted Lieu","democrat"
"CA","37","CA-37",78.66,18.27,81.15,"democrat","Sydney Kamlager-Dove","democrat"
"CA","38","CA-38",56.48,40.4,58.3,"democrat","Linda T. Sánchez","democrat"
"CA","39","CA-39",53.31,43.62,55,"democrat","Mark Takano","democrat"
"CA","40","CA-40",47.18,49.5,48.8,"republican","Young Kim","republican"
"CA","41","CA-41",45.73,51.66,46.96,"republican","Ken Calvert","republican"
"CA","42","CA-42",64.48,32.05,66.8,"democrat","Robert Garcia","democrat"
"CA","43","CA-43",72.88,23.91,75.3,"democrat","Maxine Waters","democrat"
"CA","44","CA-44",65.33,31.51,67.46,"democrat","Nanette Diaz Barragán","democrat"
"CA","45","CA-45",49.29,47.76,50.79,"democrat","Derek Tran","democrat"
"CA","46","CA-46",57.32,39.6,59.14,"democrat","J. Luis Correa","democrat"
"CA","47","CA-47",50.33,46.16,52.16,"democrat","Dave Min","democrat"
"CA","48","CA-48",41.11,56.42,42.15,"republican","Darrell Issa","republican"
"CA","49","CA-49",52.47,44.71,53.99,"democrat","Mike Levin","democrat"
"CA","50","CA-50",63.1,33.54,65.29,"democrat","Scott H. Peters","democrat"
"CA","51","CA-51",60.21,36.71,62.12,"democrat","Sara Jacobs","democrat"
"CA","52","CA-52",59.27,38.08,60.88,"democrat","Juan Vargas","democrat"
"CO","01","CO-01",76.52,20.58,78.81,"democrat","Diana Degette","democrat"
"CO","02","CO-02",68.48,28.71,70.46,"democrat","Joe Neguse","democrat"
"CO","03","CO-03",43.89,53.62,45.01,"republican","Jeff Hurd","republican"
"CO","04","CO-04",39.64,57.89,40.64,"republican","Lauren Boebert","republican"
"CO","05","CO-05",44.08,53.16,45.33,"republican","Jeff Crank","republican"
"CO","06","CO-06",58.45,38.67,60.18,"democrat","Jason Crow","democrat"
"CO","07","CO-07",56.1,41.11,57.71,"democrat","Brittany Pettersen","democrat"
"CO","08","CO-08",47.73,49.56,49.06,"republican","Gabe Evans","republican"
"CT","01","CT-01",60.59,37.71,61.64,"democrat","John B. Larson","democrat"
"CT","02","CT-02",53.01,45.29,53.93,"democrat","Joe Courtney","democrat"
"CT","03","CT-03",56.05,41.99,57.17,"democrat","Rosa L. Delauro","democrat"
"CT","04","CT-04",60.89,37.53,61.87,"democrat","James A. Himes","democrat"
"CT","05","CT-05",51.99,46.41,52.84,"democrat","Jahana Hayes","democrat"
"DE","00","DE-00",56.63,41.89,57.48,"democrat","Sarah Mcbride","democrat"
"FL","01","FL-01",30.88,68.1,31.2,"republican","Matt Gaetz","republican"
"FL","02","FL-02",40.48,58.55,40.88,"republican","Neal P. Dunn","republican"
"FL","03","FL-03",38.93,60.04,39.34,"republican","Kat Cammack","republican"
"FL","04","FL-04",43.49,55.32,44.01,"republican","Aaron Bean","republican"
"FL","05","FL-05",38.52,59.85,39.16,"republican","John H. Rutherford","republican"
"FL","06","FL-06",34.5,64.52,34.84,"republican","Michael Waltz","republican"
"FL","07","FL-07",43.11,55.62,43.66,"republican","Cory Mills","republican"
"FL","08","FL-08",38.35,60.72,38.71,"republican","Mike Haridopolos","republican"
"FL","09","FL-09",51.17,47.65,51.78,"democrat","Darren Soto","democrat"
"FL","10","FL-10",60.43,37.82,61.51,"democrat","Maxwell Frost","democrat"
