"rank","name","people","pct_female","pct_white","pct_black","pct_aian","pct_asian","pct_twoplus","pct_hispanic","also_a_last_name"
123,"BETTY",382958,99.8684,77.339,14.2862,0.77267,1.88611,1.90621,3.80982,TRUE
124,"SEAN",377131,0.552069,76.5151,8.52144,0.461378,3.54041,4.8047,6.15701,TRUE
125,"TERRY",376943,20.5287,80.3612,12.8494,0.878913,1.33999,2.67892,1.89153,TRUE
126,"JUDITH",376697,99.927,87.2802,3.08365,0.283517,0.970541,1.25167,7.1304,FALSE
127,"ALEX",373478,6.1312,52.9423,5.97652,0.612084,6.19126,3.02267,31.2551,TRUE
128,"JEREMY",372710,0.209007,75.0677,8.1224,0.913042,2.3474,3.85259,9.69682,TRUE
129,"NOAH",372418,0.642552,62.2819,7.72976,0.652761,3.1086,6.68469,19.5423,TRUE
130,"CHERYL",372339,99.931,83.0284,10.7942,0.792557,1.44438,2.46523,1.47527,FALSE
131,"DIANA",369699,99.8848,51.5387,4.31135,0.440899,3.3887,1.99487,38.3255,TRUE
132,"JERRY",369614,1.90227,76.9941,11.3334,0.917985,2.63545,2.54319,5.57582,TRUE
133,"MARTHA",368247,99.8585,50.697,6.36339,0.455129,0.520031,1.07129,40.8932,TRUE
134,"CHRIS",366265,5.61869,75.9892,7.19889,0.703043,3.42621,2.8504,9.83223,TRUE
135,"RAYMOND",364286,0.148235,68.0394,10.9403,0.987411,4.23074,2.54827,13.2539,TRUE
136,"AUSTIN",362147,1.18016,80.6554,4.13092,0.767368,2.77125,4.47719,7.19791,TRUE
137,"MADISON",360348,98.6841,75.6077,7.73058,0.678788,1.65312,5.20025,9.12951,TRUE
138,"SHIRLEY",360152,99.5669,72.7187,18.1262,0.709423,2.99873,1.99499,3.45188,TRUE
139,"ALEXIS",358353,82.7688,50.2069,11.6472,0.592712,1.72037,5.2052,30.6276,TRUE
140,"JANE",356610,99.3758,77.8627,8.41788,0.407448,5.38544,1.50501,6.42158,TRUE
141,"HENRY",354671,0.22641,61.3256,12.9946,0.630725,5.94664,3.11866,15.9838,TRUE
142,"JULIA",349784,99.7355,69.0023,5.10486,0.546909,3.66083,3.16395,18.5211,TRUE
143,"ANGEL",348579,24.2384,12.417,7.30509,0.626257,2.00242,1.42608,76.2232,TRUE
144,"GABRIEL",347543,1.80554,37.2115,6.09162,0.751562,2.24922,4.42104,49.2751,TRUE
145,"DYLAN",343918,3.65319,71.5839,3.81922,0.688536,3.31591,4.96194,15.6305,TRUE
146,"ABIGAIL",342494,99.7784,70.7735,3.42371,0.383072,3.05932,4.05409,18.3063,TRUE
147,"LOGAN",341578,7.18349,79.1567,3.65919,0.710526,1.70561,5.56125,9.20668,TRUE
148,"VICTOR",337306,0.201003,22.6815,8.26757,0.418315,3.79596,1.24546,63.5912,TRUE
149,"GLORIA",331530,99.8519,37.5384,18.0901,0.631617,3.25793,1.42612,39.0559,TRUE
150,"JESUS",331350,1.08827,1.29923,0.261959,0.13943,0.960616,0.0657915,97.273,TRUE
151,"JACQUELINE",331317,99.9019,55.6002,18.3914,0.50254,2.43815,2.68806,20.3796,TRUE
152,"DANIELLE",329069,99.5287,71.7102,12.5521,0.706539,1.45258,4.29879,9.27982,TRUE
153,"KEITH",328988,0.199399,75.3687,17.2733,0.637105,1.52589,2.77639,2.41863,TRUE
154,"SOPHIA",327895,99.864,50.2685,4.67955,0.50199,6.53654,5.86194,32.1515,TRUE
155,"DENISE",327829,99.752,69.7659,14.0177,0.616785,1.34887,2.32743,11.9233,TRUE
