"fips","name","class","bin","rate"
"48143","Erath County","ok",2,0.714
"13137","Habersham County","ok",2,0.547
"13319","Wilkinson County","ok",2,0.648
"54061","Monongalia County","ok",3,1.222
"39033","Crawford County","ok",3,1.259
"12027","DeSoto County","ok",2,0.928
"09011","New London County","nodata",NA,NA
"39059","Guernsey County","ok",3,1.235
"26015","Barry County","ok",2,0.584
"29209","Stone County","ok",1,0.437
"51760","Richmond city","nodata",NA,NA
"37169","Stokes County","ok",2,0.841
"19039","Clarke County","ok",4,2.043
"19065","Fayette County","ok",3,1.118
"06041","Marin County","ok",4,1.864
"48381","Randall County","ok",2,0.76
"48401","Rusk County","ok",2,0.714
"19181","Warren County","ok",3,1.392
"39161","Van Wert County","ok",3,1.141
"12043","Glades County","ok",3,1.05
"13199","Meriwether County","ok",2,0.674
"08023","Costilla County","ok",5,3.211
"48099","Coryell County","ok",2,0.537
"19001","Adair County","ok",2,0.975
"13053","Chattahoochee County","ok",1,0.47
"06043","Mariposa County","ok",3,1.082
"29089","Howard County","ok",6,17.251
"41047","Marion County","ok",4,2.17
"55079","Milwaukee County","nodata",NA,NA
"27139","Scott County","ok",2,0.94
"39129","Pickaway County","ok",3,1.121
"51145","Powhatan County","ok",2,0.785
"08014","Broomfield County","ok",4,1.531
"47099","Lawrence County","ok",1,0.479
"26009","Antrim County","ok",2,0.852
"45069","Marlboro County","ok",2,0.888
"16009","Benewah County","ok",4,1.55
"17103","Lee County","ok",3,1.222
"31127","Nemaha County","ok",4,1.782
"37031","Carteret County","ok",3,1.36
"20149","Pottawatomie County","ok",3,1.47
"26075","Jackson County","ok",2,0.741
"48091","Comal County","ok",2,0.556
"25019","Nantucket County","ok",3,1.282
"45009","Bamberg County","ok",3,1.334
"48007","Aransas County","ok",1,0.496
"13019","Berrien County","ok",1,0.297
"18165","Vermillion County","ok",3,1.279
"26143","Roscommon County","ok",2,0.778
"37005","Alleghany County","ok",3,1.43
"06035","Lassen County","ok",3,1.087
"51610","Falls Church city","nodata",NA,NA
"12081","Manatee County","ok",2,0.99
"39119","Muskingum County","ok",3,1.3
"08015","Chaffee County","ok",3,1.449
"08025","Crowley County","ok",3,1.33
"08043","Fremont County","ok",3,1.409
"28109","Pearl River County","setaside",NA,0
"28111","Perry County","setaside",NA,0
"31041","Custer County","ok",4,1.867
"12013","Calhoun County","ok",2,0.711
"21117","Kenton County","ok",3,1.049
"19037","Chickasaw County","ok",2,0.749
"17037","DeKalb County","ok",3,1.371
"19081","Hancock County","ok",2,0.769
"38089","Stark County","ok",3,1.424
"26095","Luce County","ok",2,0.864
"40019","Carter County","ok",1,0.256
"37139","Pasquotank County","ok",3,1.04
"35055","Taos County","ok",1,0.461
"28011","Bolivar County","setaside",NA,0
"32023","Nye County","ok",2,0.527
"47073","Hawkins County","ok",2,0.59
"38011","Bowman County","ok",4,1.588
"42057","Fulton County","ok",2,0.656
"22055","Lafayette Parish","ok",2,0.562
"48237","Jack County","impossible",NA,-0.623
"17175","Stark County","ok",2,0.755
"40055","Greer County","ok",1,0.217
"48211","Hemphill County","ok",2,0.739
"16069","Nez Perce County","ok",3,1.231
"46129","Walworth County","impossible",NA,-6.799
"06055","Napa County","ok",4,1.622
"40033","Cotton County","ok",1,0.397
"29221","Washington County","ok",2,0.631
"36011","Cayuga County","ok",4,1.505
"48417","Shackelford County","ok",2,0.518
"48407","San Jacinto County","ok",1,0.413
"19061","Dubuque County","ok",2,0.925
"51075","Goochland County","ok",2,0.999
"20181","Sherman County","ok",2,0.879
"39139","Richland County","ok",3,1.242
"17001","Adams County","ok",2,0.896
"39021","Champaign County","ok",3,1.197
"33019","Sullivan County","ok",3,1.139
"17075","Iroquois County","ok",2,0.901
"19157","Poweshiek County","ok",2,0.973
"39169","Wayne County","ok",3,1.346
"13113","Fayette County","ok",3,1.146
"13141","Hancock County","ok",3,1.073
"48259","Kendall County","ok",2,0.907
"36039","Greene County","ok",2,0.66
"51137","Orange County","ok",3,1.054
"40089","McCurtain County","ok",1,0.282
"13277","Tift County","ok",2,0.574
"31025","Cass County","ok",4,1.758
"46077","Kingsbury County","ok",4,2.029
"56009","Converse County","ok",4,1.504
"36043","Herkimer County","ok",3,1.23
"38047","Logan County","ok",4,1.996
"26053","Gogebic County","ok",2,0.979
"27005","Becker County","ok",2,0.746
"01095","Marshall County","ok",2,0.548
"47173","Union County","ok",2,0.551
"54057","Mineral County","impossible",NA,-0.647
"55003","Ashland County","nodata",NA,NA
"17053","Ford County","ok",3,1.028
"38029","Emmons County","ok",4,1.687
"06089","Shasta County","ok",2,0.876
"22113","Vermilion Parish","ok",2,0.579
"05121","Randolph County","ok",1,0.285
"55085","Oneida County","nodata",NA,NA
"22035","East Carroll Parish","ok",2,0.817
"22037","East Feliciana Parish","ok",2,0.847
"22087","St. Bernard Parish","ok",2,0.558
"48481","Wharton County","ok",1,0.496
"02198","Prince of Wales-Hyder Census Area","nodata",NA,NA
"02195","Petersburg Borough","nodata",NA,NA
"48153","Floyd County","ok",2,0.854
"02275","Wrangell City and Borough","nodata",NA,NA
"21151","Madison County","ok",3,1.106
"47009","Blount County","ok",2,0.832
"30031","Gallatin County","ok",4,1.591
"45031","Darlington County","ok",2,0.843
"01053","Escambia County","ok",2,0.533
"13143","Haralson County","ok",1,0.365
"20001","Allen County","ok",2,0.85
"17041","Douglas County","ok",3,1.048
"51079","Greene County","ok",3,1.215
"55137","Waushara County","nodata",NA,NA
"05065","Izard County","ok",2,0.654
"06053","Monterey County","ok",3,1.476
"35017","Grant County","ok",1,0.364
"29131","Miller County","ok",3,1.155
"37193","Wilkes County","ok",2,0.932
"02110","Juneau City and Borough","nodata",NA,NA
"29165","Platte County","ok",3,1.075
"29021","Buchanan County","ok",6,16.918
"01083","Limestone County","ok",2,0.755
"18065","Henry County","ok",2,0.943
"31143","Polk County","ok",4,2.084
"39123","Ottawa County","ok",3,1.07
"27107","Norman County","ok",3,1.084
"19165","Shelby County","ok",2,0.871
"24013","Carroll County","ok",3,1.092
"19011","Benton County","ok",2,0.843
"21159","Martin County","ok",2,0.733
