"name","born_all","born_through_2020","median_birth_year","census_2020","census_rank","pct_still_counted"
"CHEYENNE",73428,71573,1999,59831,805,83.5944
"CADEN",72993,64423,2009,59387,806,92.1829
"ROSS",82293,81605,1969,59341,807,72.7174
"HUGO",37518,33597,1999,59062,808,175.795
"CORA",156415,142572,1939,58912,809,41.3209
"LUCILLE",233321,227467,1925,58884,810,25.8868
"REAGAN",73580,64447,2012,58855,811,91.3231
"BRYSON",83525,70354,2013,58590,812,83.2788
"FELIPE",31958,30639,1989,58515,813,190.982
"KADEN",70701,64705,2009,58483,814,90.3841
"BEATRICE",195653,192948,1924,58355,815,30.2439
"EVERETT",137101,116275,1968,58340,816,50.1742
"ROBYN",64604,63653,1974,58115,817,91.2997
"JO",180911,180688,1950,57903,818,32.0458
"BYRON",82541,81139,1966,57834,819,71.2777
